ingredient,risk,function,side_effects
r-(sh-polypeptide-92 oligopeptide-159 sh-oligopeptide-1),Safe,General,No known major side effects
r-(sh-polypeptide-92 sh-polypeptide-102),Safe,General,No known major side effects
r-(s-rainbow trout oligopeptide-1 sh-polypeptide-116),Safe,General,No known major side effects
r-(s-rainbow trout oligopeptide-1 sh-polypeptide-4),Safe,General,No known major side effects
r-(s-rainbow trout oligopeptide-1 sh-polypeptide-58),Safe,General,No known major side effects
r-(s-rainbow trout oligopeptide-1 sh-polypeptide-62),Safe,General,No known major side effects
r-(s-rainbow trout oligopeptide-1 sh-polypeptide-66),Safe,General,No known major side effects
r-(s-rainbow trout oligopeptide-1 sh-polypeptide-72),Safe,General,No known major side effects
r-(tetrapeptide-69 sh-polypeptide-126 hexapeptide-40),Safe,General,No known major side effects
r-(tripeptide-70 s-rainbow trout oligopeptide-1 sh-polypeptide-50),Safe,General,No known major side effects
rabbit fat,Safe,General,No known major side effects
radium ore powder,Safe,General,No known major side effects
raffinose isostearate,Safe,General,No known major side effects
raffinose myristate,Safe,General,No known major side effects
raffinose oleate,Safe,General,No known major side effects
rahnella/soy protein ferment,Safe,General,No known major side effects
ramaria formosa fruiting body extract,Safe,Natural/conditioning,Generally safe
ranunculus ficaria extract,Safe,Natural/conditioning,Generally safe
ranunculus japonicus extract,Safe,Natural/conditioning,Generally safe
ranunculus pygmaeus callus culture extract,Safe,Natural/conditioning,Generally safe
raoulia australis callus extract,Safe,Natural/conditioning,Generally safe
raoulia australis shoot extract,Safe,Natural/conditioning,Generally safe
rapeseedamidopropyl benzyldimonium chloride,Safe,General,No known major side effects
rapeseedamidopropyl epoxypropyl dimonium chloride,Safe,General,No known major side effects
rapeseed gamma-lactone,Safe,General,No known major side effects
rapeseed glucoside,Safe,General,No known major side effects
rapeseed glyceride,Safe,General,No known major side effects
rapeseed glycerides,Safe,General,No known major side effects
rapeseed oil decyl esters,Safe,Natural/conditioning,Generally safe
rapeseed oil peg-20 esters,Moderate,Solvent/active,Possible irritation or dryness
rapeseed oil peg-3 esters,Moderate,Solvent/active,Possible irritation or dryness
rapeseed oil sorbitol esters,Safe,Natural/conditioning,Generally safe
rapeseed sophorolipids,Safe,General,No known major side effects
raphanus sativus leaf extract,Safe,Natural/conditioning,Generally safe
raphanus sativus root extract,Safe,Natural/conditioning,Generally safe
raphanus sativus root juice,Safe,General,No known major side effects
raphanus sativus root powder,Safe,General,No known major side effects
raphanus sativus seed extract,Safe,Natural/conditioning,Generally safe
raphanus sativus sprout extract,Safe,Natural/conditioning,Generally safe
raphanus sativus sprout juice,Safe,General,No known major side effects
raphia taedigera fruit oil,Safe,Natural/conditioning,Generally safe
raponticin glucoside,Safe,General,No known major side effects
raspberryketone glucoside,Safe,General,No known major side effects
raspberry seed oil/palm oil aminopropanediol esters,Safe,Natural/conditioning,Generally safe
raspberry seed oil/tocopheryl succinate aminopropanediol esters,Safe,Natural/conditioning,Generally safe
raspberry seed oil peg-8 esters,Moderate,Solvent/active,Possible irritation or dryness
rauvolfia serpentina root extract,Safe,Natural/conditioning,Generally safe
rauwolfia serpentina extract,Safe,Natural/conditioning,Generally safe
ravenala madagascariensis aril extract,Safe,Natural/conditioning,Generally safe
ravenala madagascariensis kernel oil,Safe,Natural/conditioning,Generally safe
ravenala madagascariensis leaf/stem extract,Safe,Natural/conditioning,Generally safe
ravenala madagascariensis leaf extract,Safe,Natural/conditioning,Generally safe
ravenala madagascariensis stem extract,Safe,Natural/conditioning,Generally safe
ravensara aromatica leaf oil,Safe,Natural/conditioning,Generally safe
ravensara aromatica twig extract,Safe,Natural/conditioning,Generally safe
ravensara aromatica twig oil,Safe,Natural/conditioning,Generally safe
rayon,Safe,General,No known major side effects
r-bacillus licheniformis keratinase,Safe,General,No known major side effects
r-bovine octapeptide-1,Safe,General,No known major side effects
r-bovine oligopeptide-1,Safe,General,No known major side effects
r-bovine polypeptide-1,Safe,General,No known major side effects
r-chaetoceros neogracile polypeptide-1,Safe,General,No known major side effects
r-clostridium botulinum polypeptide-1,Safe,General,No known major side effects
r-clostridium histolyticum collagenase g hexapeptide-40,Safe,General,No known major side effects
r-clostridium histolyticum collagenase h hexapeptide-40,Safe,General,No known major side effects
r-clostridium histolyticum collagenase h sh-oligopeptide-60,Safe,General,No known major side effects
rebaudioside a,Safe,General,No known major side effects
recoflavone,Safe,General,No known major side effects
red junglefowl blastoderm pluripotent cell culture conditioned media,Safe,General,No known major side effects
red junglefowl induced pluripotent cell culture conditioned media,Safe,General,No known major side effects
red petrolatum,Safe,General,No known major side effects
red rice vinegar,Safe,General,No known major side effects
rehmannia elata root extract,Safe,Natural/conditioning,Generally safe
rehmannia glutinosa rhizome extract,Safe,Natural/conditioning,Generally safe
rehmannia glutinosa root extract ,Safe,Natural/conditioning,Generally safe
renealmia guianensis leaf extract,Safe,Natural/conditioning,Generally safe
repagermanium,Safe,General,No known major side effects
resacetophenone,Safe,General,No known major side effects
r-escherichia coli/genistein ferment extract filtrate,Safe,Natural/conditioning,Generally safe
r-escherichia coli/sunflower seed oil ferment extract,Safe,Natural/conditioning,Generally safe
r- escherichia coli thioredoxin-1 heptapeptide-20 hexapeptide-40 oligopeptide-113 sh-polypeptide-70,Safe,General,No known major side effects
reseda luteola extract,Safe,Natural/conditioning,Generally safe
resmethrin,Safe,General,No known major side effects
resorcinol acetate,Safe,General,No known major side effects
resorcinol bis-ethylhexanoate,Safe,General,No known major side effects
resorcinol dihexyl ether,Safe,General,No known major side effects
resorcinol dimethyl ether,Safe,General,No known major side effects
resorcinol dipentyl ether,Safe,General,No known major side effects
resveratrol dimethyl ether glucoside,Safe,General,No known major side effects
resveratrol dimethyl ether maltotrioside,Safe,General,No known major side effects
resveratrol dimethyl ether oligosaccharides,Safe,General,No known major side effects
resveratrol tripentyl ether,Safe,General,No known major side effects
resveratryl acetate,Safe,General,No known major side effects
resveratryl ferulate,Safe,General,No known major side effects
resveratryl glucoside,Safe,General,No known major side effects
resveratryl triacetate,Safe,General,No known major side effects
resveratryl tricaprylate,Safe,General,No known major side effects
resveratryl triglycolate,Moderate,Solvent/active,Possible irritation or dryness
resveratryl tris-ethylhexanoate,Safe,General,No known major side effects
retinal,Safe,General,No known major side effects
retinol,Safe,General,No known major side effects
retinol/saccharomyces polypeptide,Safe,General,No known major side effects
retinoxytrimethylsilane,Safe,General,No known major side effects
retinoyl oligopeptide-112,Safe,General,No known major side effects
retinoyl oligopeptide-161,Safe,General,No known major side effects
retinoyl oligopeptide-86,Safe,General,No known major side effects
retinoyl pentapeptide-4,Safe,General,No known major side effects
retinoyl pullulan,Safe,General,No known major side effects
retinoyl tetrapeptide-43 amide,Safe,General,No known major side effects
retinoyl tripeptide-1,Safe,General,No known major side effects
retinoyl tripeptide-35,Safe,General,No known major side effects
retinyl acetate,Safe,General,No known major side effects
retinyl dimethylglycylprolinate,Safe,General,No known major side effects
retinyl formyl aspartamate,Safe,General,No known major side effects
retinyl glycolyl shikimate,Moderate,Solvent/active,Possible irritation or dryness
retinyl hydroxypentanoatyl shikimate,Safe,General,No known major side effects
retinyl methoxy peg-22 acetate,Moderate,Solvent/active,Possible irritation or dryness
retinyl oleate,Safe,General,No known major side effects
retinyl palmitate,Safe,General,No known major side effects
retinyl palmitate/carrot polypeptide,Safe,General,No known major side effects
retinyl rice branate,Safe,General,No known major side effects
retinyl soyate,Safe,General,No known major side effects
retinyl sunflowerseedate,Safe,General,No known major side effects
retinyl tallate,Safe,General,No known major side effects
retynil formyl aspartamate,Safe,General,No known major side effects
reynoutria sachalinensis extract,Safe,Natural/conditioning,Generally safe
reynoutria sachalinensis fruit extract,Safe,Natural/conditioning,Generally safe
reynoutria sachalinensis root extract,Safe,Natural/conditioning,Generally safe
reynoutria sachalinensis sprout extract,Safe,Natural/conditioning,Generally safe
rhamnolipids,Safe,General,No known major side effects
rhamnus purshiana bark extract,Safe,Natural/conditioning,Generally safe
rhaphiolepis umbellata bark extract,Safe,Natural/conditioning,Generally safe
rhaphiolepis umbellata stem extract,Safe,Natural/conditioning,Generally safe
rhapis flabelliformis leaf extract,Safe,Natural/conditioning,Generally safe
rhaponticum carthamoides root extract,Safe,Natural/conditioning,Generally safe
rhaponticum uniflorum root extract,Safe,Natural/conditioning,Generally safe
rhein,Safe,General,No known major side effects
rheum emodi root extract,Safe,Natural/conditioning,Generally safe
rheum officinale stem extract,Safe,Natural/conditioning,Generally safe
rheum palmatum root,Safe,General,No known major side effects
rheum palmatum root/stalk extract,Safe,Natural/conditioning,Generally safe
rheum palmatum root water,Safe,General,No known major side effects
rheum rhabarbarum extract,Safe,Natural/conditioning,Generally safe
rheum rhabarbarum stalk extract,Safe,Natural/conditioning,Generally safe
rheum rhabarbarum stalk juice,Safe,General,No known major side effects
rheum rhaponticum fruit water,Safe,General,No known major side effects
rheum tanguticum root extract,Safe,Natural/conditioning,Generally safe
rhinacanthus communis extract,Safe,Natural/conditioning,Generally safe
rhinacanthus nasutus extract,Safe,Natural/conditioning,Generally safe
rhinacanthus nasutus leaf extract,Safe,Natural/conditioning,Generally safe
rhinacanthus nasutus leaf powder,Safe,General,No known major side effects
rhinacanthus nasutus root powder,Safe,General,No known major side effects
rhizophora apiculata leaf extract,Safe,Natural/conditioning,Generally safe
rhizophora mangle bark extract,Safe,Natural/conditioning,Generally safe
rhizophora mangle callus culture extract,Safe,Natural/conditioning,Generally safe
rhizophora mangle extract,Safe,Natural/conditioning,Generally safe
rhizopus/borago officinalis seed oil ferment filtrate,Safe,Natural/conditioning,Generally safe
rhizopus/hibiscus sabdariffa flower ferment filtrate,Safe,General,No known major side effects
rhizopus/rice ferment,Safe,General,No known major side effects
rhizopus/rice ferment extract,Safe,Natural/conditioning,Generally safe
rhizopus/rice ferment extract filtrate,Safe,Natural/conditioning,Generally safe
rhizopus/soybean ferment extract filtrate,Safe,Natural/conditioning,Generally safe
